Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,"China, Macao Special Administrative Region",MAC,8926.1,9088.1,9793.4,10698.5,11333.5,11759,14236.2,15461.2,15163.8,15298.5,16623.8,16610.5,13506.6,13731.3,14815.95,16785.25,18570.45,15917.38,18343.28,18929.7,20090.9,21543,23445.1,24979.4,26841.6
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Chinese Taipei,TWN,1064710.567,1122889.921,1204879.23,1257651.123,1327876.947,1380392.021,1445170.358,1491064.971,1559980.662,1615799.792,1711312.13,1714311.511,1800066.219,1826781.603,1893136.522,1922179.097,1940088.721,1957540.81,1875726.384,1807268.394,1938621.08,1975544.971,1930258.365,1969976.025,1962334.864
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Christmas Island,XMS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cocos Islands,COC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Colombia,COL,779310.5204,794268.2402,790122.0941,820768.3815,859751.76,883012.3648,911038.5528,869432.8558,851604.1216,803184.5751,808490.0881,814895.9339,802343.4051,811386.5582,821107.8054,840376.2545,863945.1752,885407.2981,928834.0856,891173.9871,909914.1876,1026021.897,1015172.056,1036364.926,1056339.395
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Comoros,COM,1527.06,1554.15,1633.19,1709.56,2136.81,2230.04,2255.99,2332.48,2056.4,2135.46,2262.7,2339.21,2379.04,2762.7,2909.17,2824.75,3018.46,2628.3,2651.66,2784.92,3068.55,3052.33,3114.14,3474.09,3365.58
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Congo,COG,25267.37987,26452.91416,25776.49475,25776.45288,22724.94557,24357.00208,23519.26526,22062.3426,22111.28629,21509.30819,19617.50261,22572.54605,22255.81463,26533.9706,28373.39932,30868.56464,45199.68797,37823.63494,43273.80184,46965.05219,51671.89462,72884.56802,75634.6676,80895.75862,83134.64992
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cook Islands,COK,362.5,362.5,362.5,405.5,405.5,405.5,464.2,464.2,464.2,471.4,482.2,442.8,494.3,498.26,543.78,544.14,595.42,600.82,643.1,640.22,686.82,686.46,726.94,725.5,722.98
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Costa Rica,CRI,61115.43136,63268.32578,71615.3396,74124.11203,78724.44227,80295.41336,81850.39088,80104.8721,83611.77764,88338.67484,92251.86746,96598.39388,99711.19595,104599.3687,117223.5336,122767.2755,130630.1697,143803.4334,145037.2415,140831.6847,144526.4938,143534.4734,142391.2258,144875.7148,145408.6526
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cote d'Ivoire,CIV,119146.1959,122376.8146,124618.4273,126773.122,129715.5632,136731.0909,141668.626,149010.7241,148092.4332,180217.624,179901.9812,178611.7769,179831.3499,170888.68,212582.9278,210231.0766,225219.8625,227403.195,231774.5491,220008.4688,237627.528,263742.693,288915.535,307257.7802,322354.7948
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Croatia,HRV,264020.2779,232029.9021,202835.4713,208115.4866,209862.9732,217224.0793,227908.1649,243780.7424,247385.8284,254344.0807,247723.2845,260201.1627,263807.7978,282139.3666,289324.2504,298839.8838,299570.7316,300558.2721,304896.3831,295984.4025,297224.7839,286614.5953,273406.0368,269620.8346,255769.8117
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cuba,CUB,568326.7827,458306.0523,395225.4627,314972.1266,319773.4651,314417.585,351694.3401,385060.4147,370475.655,394379.9384,399065.1351,406312.1091,322705.8999,292350.0089,290006.0289,279918.7298,276793.3255,275201.839,256946.4699,303147.6823,312981.4707,296126.335,302813.4082,290954.5903,299350.0454
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Curacao,CUW,24727.61761,26109.51282,27587.41135,23496.48907,27739.89461,27987.8369,28529.14828,27846.95108,28835.07775,29940.43482,30958.83205,31324.88398,31386.59741,31646.0534,32322.47281,33020.1193,33843.20231,35009.30984,35613.80003,34571.4543,35240.67241,35589.55846,24072.84396,24163.61378,24604.14888
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Cyprus,CYP,35449.34252,41225.87048,42869.27322,44136.0733,45822.89315,47829.37518,50471.28785,50708.26073,53065.13605,54617.39215,56793.73266,57250.05199,58345.23514,61595.69918,63311.44982,63476.45161,64390.68126,67582.19516,69442.30667,68837.98396,68278.04132,66928.38448,61778.24366,56838.32208,57024.25787
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Czech Republic,CZE,1295912.697,1158654.488,1141537.426,1115134.502,1051134.659,1039803.001,1058041.329,1042107.792,1004649.288,966390.7283,993694.6933,1018040.307,987062.7603,1035142.087,1048363.248,1039511.599,1046749.321,1024109.493,1017761.006,979299.9725,989929.3366,958796.2499,945861.4663,951502.1745,922194.407
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Democratic People's Republic of Korea,PRK,1138373.21,1064147.903,965891.8711,904925.1549,820358.5356,778702.5552,684395.6388,650651.4543,618452.9945,658885.6339,704826.9297,726325.2685,697244.0488,714475.7453,731207.8309,763335.2826,773550.7815,653185.0963,720895.4076,714005.6095,677693.2419,497027.2535,507127.8247,382065.5548,420908.7592
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Democratic Republic of the Congo,COD,441993.9446,442186.4118,453378.3981,467815.6149,477521.1197,491092.5063,506066.3034,521497.1317,539262.7289,556896.1488,572122.4519,591400.8656,611337.3186,634631.5015,656936.0505,683352.0789,710335.9212,736253.1761,762006.2248,788770.3019,799117.2245,848593.3937,699300.0188,800420.366,900592.11
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Denmark,DNK,538808.4611,572026.6998,563327.6179,583413.7491,582319.0265,594181.7381,617839.2934,602900.4142,599621.7311,596147.0639,583246.612,599648.3173,590297.6856,603211.9958,608641.3962,612556.2635,619249.91,620661.2385,612456.9526,586539.2371,615520.5179,584450.3589,560788.9518,554031.4147,528348.1181
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Djibouti,DJI,4454.87,4562.01,4561.89,4623.3,4499.78,4645.49,4703.74,4945.17,4973.54,5000.82,5456.2,5441.49,5418.81,5454.06,5440.89,5638.25,5754.82,5945.06,5936.09,6009.63,5926.3,6011.51,6171.7,6273.52,6333.84
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Dominica,DMA,822.62,825.53,825.42,866.96,901.32,1105.41,942.36,1174.8,1192.56,1242.6,1533.89,1628.95,1319.03,1487.86,1454.97,1459.86,1499.88,1505.74,1512.15,1536.13,1559.3,1566.87,1571.57,1610.71,1617.22
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Dominican Republic,DOM,94493.48018,94140.90976,104303.4875,110031.4905,122345.1624,128784.377,141621.8176,155716.0518,161908.2033,172210.4109,194159.2912,181355.7219,205165.5929,182333.6746,193682.4566,195512.4231,205785.2393,206502.8987,203077.6776,203293.8003,215236.8566,215692.0455,223592.2859,212742.6542,208665.6321
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Ecuador,ECU,220448.8364,227662.1067,226081.9665,222641.7985,235783.117,235066.7556,269604.4224,275182.496,274206.3017,235251.226,258007.1539,262872.9691,271134.0698,273646.1498,302869.302,309819.39,321954.4949,328332.2892,352608.6954,372585.9697,395924.2396,428053.031,446827.2702,464576.9158,501882.0574
