pais,energia_tipo,anio,energia_cons,energia_produccion,pbi,poblacion,energia_intensidad_per_capita,energia_intensidad_by_pbi,co2_emision_co2
Burkina Faso,renewables_n_other,1980,0.0,0.0,,6822.84,0.88,0.0,0.0
Burma,all_energy_types,1980,0.07,0.09,,34224.3,2.02,0.0,
Burma,coal,1980,0.0,0.0,,34224.3,2.02,0.0,
Burma,natural_gas,1980,0.01,0.01,,34224.3,2.02,0.0,
Burma,petroleum_n_other_liquids,1980,0.05,0.07,,34224.3,2.02,0.0,
Burma,nuclear,1980,,,,34224.3,2.02,0.0,0.0
Burma,renewables_n_other,1980,0.01,0.01,,34224.3,2.02,0.0,0.0
Burundi,all_energy_types,1980,0.0,0.0,,4157.3,0.38,0.0,
Burundi,coal,1980,0.0,0.0,,4157.3,0.38,0.0,
Burundi,natural_gas,1980,0.0,0.0,,4157.3,0.38,0.0,
Burundi,petroleum_n_other_liquids,1980,0.0,0.0,,4157.3,0.38,0.0,
Burundi,nuclear,1980,,,,4157.3,0.38,0.0,0.0
Burundi,renewables_n_other,1980,0.0,0.0,,4157.3,0.38,0.0,0.0
Cabo Verde,all_energy_types,1980,0.0,0.0,,283.85,14.42,0.0,
Cabo Verde,coal,1980,0.0,0.0,,283.85,14.42,0.0,
Cabo Verde,natural_gas,1980,0.0,0.0,,283.85,14.42,0.0,
Cabo Verde,petroleum_n_other_liquids,1980,0.0,0.0,,283.85,14.42,0.0,
Cabo Verde,nuclear,1980,,,,283.85,14.42,0.0,0.0
Cabo Verde,renewables_n_other,1980,0.0,0.0,,283.85,14.42,0.0,0.0
Cambodia,all_energy_types,1980,0.0,0.0,,6693.76,0.67,0.0,
Cambodia,coal,1980,0.0,0.0,,6693.76,0.67,0.0,
Cambodia,natural_gas,1980,0.0,0.0,,6693.76,0.67,0.0,
Cambodia,petroleum_n_other_liquids,1980,0.0,0.0,,6693.76,0.67,0.0,
Cambodia,nuclear,1980,,,,6693.76,0.67,0.0,0.0
Cambodia,renewables_n_other,1980,0.0,0.0,,6693.76,0.67,0.0,0.0
Cameroon,all_energy_types,1980,0.05,0.14,,8621.41,5.46,0.0,
Cameroon,coal,1980,0.0,0.0,,8621.41,5.46,0.0,
Cameroon,natural_gas,1980,0.0,0.0,,8621.41,5.46,0.0,
Cameroon,petroleum_n_other_liquids,1980,0.03,0.13,,8621.41,5.46,0.0,
Cameroon,nuclear,1980,,,,8621.41,5.46,0.0,0.0
Cameroon,renewables_n_other,1980,0.01,0.01,,8621.41,5.46,0.0,0.0
Canada,all_energy_types,1980,9.55,10.15,693.88,24515.65,389.5,13.76,
Canada,coal,1980,0.79,0.78,693.88,24515.65,389.5,13.76,
Canada,natural_gas,1980,1.92,2.81,693.88,24515.65,389.5,13.76,
Canada,petroleum_n_other_liquids,1980,3.9,3.53,693.88,24515.65,389.5,13.76,
Canada,nuclear,1980,0.42,0.42,693.88,24515.65,389.5,13.76,0.0
Canada,renewables_n_other,1980,2.54,2.62,693.88,24515.65,389.5,13.76,0.0
Cayman Islands,all_energy_types,1980,0.0,0.0,,16.21,87.03,0.0,
Cayman Islands,coal,1980,0.0,0.0,,16.21,87.03,0.0,
Cayman Islands,natural_gas,1980,0.0,0.0,,16.21,87.03,0.0,
Cayman Islands,petroleum_n_other_liquids,1980,0.0,0.0,,16.21,87.03,0.0,
Cayman Islands,nuclear,1980,,,,16.21,87.03,0.0,0.0
Cayman Islands,renewables_n_other,1980,0.0,0.0,,16.21,87.03,0.0,0.0
Central African Republic,all_energy_types,1980,0.0,0.0,,2199.36,1.25,0.0,
Central African Republic,coal,1980,0.0,0.0,,2199.36,1.25,0.0,
Central African Republic,natural_gas,1980,0.0,0.0,,2199.36,1.25,0.0,
Central African Republic,petroleum_n_other_liquids,1980,0.0,0.0,,2199.36,1.25,0.0,
Central African Republic,nuclear,1980,,,,2199.36,1.25,0.0,0.0
Central African Republic,renewables_n_other,1980,0.0,0.0,,2199.36,1.25,0.0,0.0
Chad,all_energy_types,1980,0.0,0.0,,4514.43,0.91,0.0,
Chad,coal,1980,0.0,0.0,,4514.43,0.91,0.0,
Chad,natural_gas,1980,0.0,0.0,,4514.43,0.91,0.0,
Chad,petroleum_n_other_liquids,1980,0.0,0.0,,4514.43,0.91,0.0,
Chad,nuclear,1980,,,,4514.43,0.91,0.0,0.0
Chad,renewables_n_other,1980,0.0,0.0,,4514.43,0.91,0.0,0.0
Chile,all_energy_types,1980,0.43,0.27,81.17,11362.0,37.6,5.26,
Chile,coal,1980,0.03,0.02,81.17,11362.0,37.6,5.26,
Chile,natural_gas,1980,0.08,0.08,81.17,11362.0,37.6,5.26,
Chile,petroleum_n_other_liquids,1980,0.23,0.09,81.17,11362.0,37.6,5.26,
Chile,nuclear,1980,,,81.17,11362.0,37.6,5.26,0.0
Chile,renewables_n_other,1980,0.08,0.08,81.17,11362.0,37.6,5.26,0.0
China,all_energy_types,1980,19.11,19.54,684.62,1001920.0,19.07,27.91,
China,coal,1980,13.81,13.81,684.62,1001920.0,19.07,27.91,
China,natural_gas,1980,0.58,0.58,684.62,1001920.0,19.07,27.91,
