pais;pais_iso;indicador;anio;frecuencia
Jamaica;JAM;TOTAL;1980;1.0
Japan;JPN;Extreme temperature;1980;0.0
Japan;JPN;Flood;1980;1.0
Japan;JPN;Landslide;1980;0.0
Japan;JPN;Storm;1980;1.0
Japan;JPN;TOTAL;1980;2.0
Japan;JPN;Wildfire;1980;0.0
Jordan;JOR;Drought;1980;0.0
Jordan;JOR;Extreme temperature;1980;0.0
Jordan;JOR;Flood;1980;0.0
Jordan;JOR;Storm;1980;0.0
Jordan;JOR;TOTAL;1980;0.0
Kazakhstan, Rep. of;KAZ;Drought;1980;0.0
Kazakhstan, Rep. of;KAZ;Extreme temperature;1980;0.0
Kazakhstan, Rep. of;KAZ;Flood;1980;0.0
Kazakhstan, Rep. of;KAZ;Landslide;1980;0.0
Kazakhstan, Rep. of;KAZ;Storm;1980;0.0
Kazakhstan, Rep. of;KAZ;TOTAL;1980;0.0
Kazakhstan, Rep. of;KAZ;Wildfire;1980;0.0
Kenya;KEN;Drought;1980;0.0
Kenya;KEN;Flood;1980;0.0
Kenya;KEN;Landslide;1980;0.0
Kenya;KEN;Storm;1980;0.0
Kenya;KEN;TOTAL;1980;0.0
Kiribati;KIR;Drought;1980;0.0
Kiribati;KIR;Flood;1980;0.0
Kiribati;KIR;Storm;1980;0.0
Kiribati;KIR;TOTAL;1980;0.0
Korea, Dem. People's Rep. of;PRK;Drought;1980;0.0
Korea, Dem. People's Rep. of;PRK;Extreme temperature;1980;0.0
Korea, Dem. People's Rep. of;PRK;Flood;1980;0.0
Korea, Dem. People's Rep. of;PRK;Storm;1980;0.0
Korea, Dem. People's Rep. of;PRK;TOTAL;1980;0.0
Korea, Rep. of;KOR;Drought;1980;0.0
Korea, Rep. of;KOR;Extreme temperature;1980;0.0
Korea, Rep. of;KOR;Flood;1980;0.0
Korea, Rep. of;KOR;Landslide;1980;0.0
Korea, Rep. of;KOR;Storm;1980;2.0
Korea, Rep. of;KOR;TOTAL;1980;2.0
Korea, Rep. of;KOR;Wildfire;1980;0.0
Kuwait;KWT;Flood;1980;0.0
Kuwait;KWT;TOTAL;1980;0.0
Kyrgyz Rep.;KGZ;Drought;1980;0.0
Kyrgyz Rep.;KGZ;Extreme temperature;1980;0.0
Kyrgyz Rep.;KGZ;Flood;1980;0.0
Kyrgyz Rep.;KGZ;Landslide;1980;0.0
Kyrgyz Rep.;KGZ;Storm;1980;0.0
Kyrgyz Rep.;KGZ;TOTAL;1980;0.0
Lao People's Dem. Rep.;LAO;Drought;1980;0.0
Lao People's Dem. Rep.;LAO;Flood;1980;0.0
Lao People's Dem. Rep.;LAO;Storm;1980;0.0
Lao People's Dem. Rep.;LAO;TOTAL;1980;0.0
Latvia;LVA;Extreme temperature;1980;0.0
Latvia;LVA;Storm;1980;0.0
Latvia;LVA;TOTAL;1980;0.0
Latvia;LVA;Wildfire;1980;0.0
Lebanon;LBN;Flood;1980;0.0
Lebanon;LBN;Storm;1980;0.0
Lebanon;LBN;TOTAL;1980;0.0
Lebanon;LBN;Wildfire;1980;0.0
Lesotho, Kingdom of;LSO;Drought;1980;0.0
Lesotho, Kingdom of;LSO;Flood;1980;0.0
Lesotho, Kingdom of;LSO;Storm;1980;0.0
Lesotho, Kingdom of;LSO;TOTAL;1980;0.0
Liberia;LBR;Drought;1980;1.0
Liberia;LBR;Extreme temperature;1980;0.0
Liberia;LBR;Flood;1980;0.0
Liberia;LBR;Storm;1980;0.0
Liberia;LBR;TOTAL;1980;1.0
Libya;LBY;Flood;1980;0.0
Libya;LBY;TOTAL;1980;0.0
Lithuania;LTU;Drought;1980;0.0
Lithuania;LTU;Extreme temperature;1980;0.0
Lithuania;LTU;Flood;1980;0.0
Lithuania;LTU;Storm;1980;0.0
Lithuania;LTU;TOTAL;1980;0.0
Luxembourg;LUX;Extreme temperature;1980;0.0
Luxembourg;LUX;Flood;1980;0.0
Luxembourg;LUX;Storm;1980;0.0
Luxembourg;LUX;TOTAL;1980;0.0
Madagascar, Rep. of;MDG;Drought;1980;0.0
Madagascar, Rep. of;MDG;Flood;1980;0.0
Madagascar, Rep. of;MDG;Storm;1980;0.0
Madagascar, Rep. of;MDG;TOTAL;1980;0.0
Malawi;MWI;Drought;1980;0.0
Malawi;MWI;Flood;1980;0.0
Malawi;MWI;Landslide;1980;0.0
Malawi;MWI;Storm;1980;0.0
Malawi;MWI;TOTAL;1980;0.0
Malaysia;MYS;Drought;1980;0.0
Malaysia;MYS;Flood;1980;0.0
Malaysia;MYS;Landslide;1980;0.0
Malaysia;MYS;Storm;1980;0.0
Malaysia;MYS;TOTAL;1980;0.0
Malaysia;MYS;Wildfire;1980;0.0
Maldives;MDV;Flood;1980;0.0
Maldives;MDV;Storm;1980;0.0
Maldives;MDV;TOTAL;1980;0.0
Mali;MLI;Drought;1980;1.0
Mali;MLI;Flood;1980;0.0
Mali;MLI;TOTAL;1980;1.0
Marshall Islands, Rep. of the;MHL;Drought;1980;0.0
Marshall Islands, Rep. of the;MHL;Flood;1980;0.0
Marshall Islands, Rep. of the;MHL;Storm;1980;0.0
Marshall Islands, Rep. of the;MHL;TOTAL;1980;0.0
Mauritania, Islamic Rep. of;MRT;Drought;1980;1.0
Mauritania, Islamic Rep. of;MRT;Flood;1980;0.0
Mauritania, Islamic Rep. of;MRT;Storm;1980;0.0
Mauritania, Islamic Rep. of;MRT;TOTAL;1980;1.0
Mauritius;MUS;Drought;1980;0.0
Mauritius;MUS;Flood;1980;0.0
Mauritius;MUS;Storm;1980;0.0
Mauritius;MUS;TOTAL;1980;0.0
Mexico;MEX;Drought;1980;0.0
Mexico;MEX;Extreme temperature;1980;0.0
Mexico;MEX;Flood;1980;2.0
Mexico;MEX;Landslide;1980;0.0
Mexico;MEX;Storm;1980;0.0
Mexico;MEX;TOTAL;1980;2.0
Mexico;MEX;Wildfire;1980;0.0
Micronesia, Federated States of;FSM;Drought;1980;0.0
Micronesia, Federated States of;FSM;Flood;1980;0.0
Micronesia, Federated States of;FSM;Storm;1980;0.0
Micronesia, Federated States of;FSM;TOTAL;1980;0.0
Moldova, Rep. of;MDA;Drought;1980;0.0
Moldova, Rep. of;MDA;Extreme temperature;1980;0.0
Moldova, Rep. of;MDA;Flood;1980;0.0
Moldova, Rep. of;MDA;Storm;1980;0.0
Moldova, Rep. of;MDA;TOTAL;1980;0.0
Mongolia;MNG;Drought;1980;0.0
Mongolia;MNG;Extreme temperature;1980;0.0
Mongolia;MNG;Flood;1980;0.0
Mongolia;MNG;Landslide;1980;0.0
Mongolia;MNG;Storm;1980;0.0
Mongolia;MNG;TOTAL;1980;0.0
Mongolia;MNG;Wildfire;1980;0.0
Montenegro;MNE;Extreme temperature;1980;0.0
Montenegro;MNE;Flood;1980;0.0
Montenegro;MNE;TOTAL;1980;0.0
Montenegro;MNE;Wildfire;1980;0.0
Montserrat;MSR;Storm;1980;0.0
Montserrat;MSR;TOTAL;1980;0.0
Morocco;MAR;Drought;1980;0.0
Morocco;MAR;Extreme temperature;1980;0.0
Morocco;MAR;Flood;1980;0.0
Morocco;MAR;Landslide;1980;0.0
Morocco;MAR;Storm;1980;0.0
Morocco;MAR;TOTAL;1980;0.0
Mozambique, Rep. of;MOZ;Drought;1980;0.0
Mozambique, Rep. of;MOZ;Flood;1980;0.0
Mozambique, Rep. of;MOZ;Landslide;1980;0.0
Mozambique, Rep. of;MOZ;Storm;1980;0.0
Mozambique, Rep. of;MOZ;TOTAL;1980;0.0
