;pais;codigo_iso;anio;valor;info_codigo
241;Bahamas, The;BHS;1991;4.14;6.1
242;Bahrain;BHR;1991;11.05;6.1
243;Bangladesh;BGD;1991;3.71;6.1
244;Barbados;BRB;1991;5.29;6.1
245;Belarus;BLR;1991;22.81;6.1
246;Belgium;BEL;1991;6.79;6.1
247;Belize;BLZ;1991;8.54;6.1
248;Benin;BEN;1991;9.3;6.1
249;Bermuda;BMU;1991;3.34;6.1
250;Bhutan;BTN;1991;30.29;6.1
251;Bolivia;BOL;1991;4.21;6.1
252;Bosnia and Herzegovina;BIH;1991;46.77;6.1
253;Botswana;BWA;1991;4.33;6.1
254;Brazil;BRA;1991;3.82;6.1
255;British Virgin Islands;VGB;1991;;6.1
256;Brunei Darussalam;BRN;1991;4.0;6.1
257;Bulgaria;BGR;1991;12.37;6.1
258;Burkina Faso;BFA;1991;12.03;6.1
259;Burundi;BDI;1991;9.53;6.1
260;Cambodia;KHM;1991;13.28;6.1
261;Cameroon;CMR;1991;6.55;6.1
262;Canada;CAN;1991;10.37;6.1
263;Cape Verde;CPV;1991;4.15;6.1
264;Cayman Islands;CYM;1991;;6.1
265;Central African Republic;CAF;1991;11.29;6.1
266;Chad;TCD;1991;6.19;6.1
267;Channel Islands;CHI;1991;;6.1
268;Chile;CHL;1991;4.57;6.1
269;China;CHN;1991;18.88;6.1
270;Colombia;COL;1991;3.88;6.1
271;Comoros;COM;1991;3.69;6.1
272;Congo, Dem. Rep.;ZAR;1991;12.18;6.1
273;Congo, Rep.;COG;1991;2.68;6.1
274;Cook Islands;COK;1991;;6.1
275;Costa Rica;CRI;1991;3.22;6.1
276;Cote d'Ivoire;CIV;1991;4.77;6.1
277;Croatia;HRV;1991;5.36;6.1
278;Cuba;CUB;1991;4.66;6.1
279;Curacao;CUW;1991;;6.1
280;Cyprus;CYP;1991;4.2;6.1
281;Czech Republic;CZE;1991;10.36;6.1
282;Denmark;DNK;1991;4.65;6.1
283;Djibouti;DJI;1991;3.68;6.1
284;Dominica;DMA;1991;2.02;6.1
285;Dominican Republic;DOM;1991;4.39;6.1
286;Ecuador;ECU;1991;3.5;6.1
287;Egypt, Arab Rep.;EGY;1991;3.94;6.1
288;El Salvador;SLV;1991;4.61;6.1
289;Equatorial Guinea;GNQ;1991;15.5;6.1
290;Eritrea;ERI;1991;;6.1
291;Estonia;EST;1991;18.23;6.1
292;Ethiopia;ETH;1991;34.11;6.1
293;Faeroe Islands;FRO;1991;;6.1
294;Falkland Islands;FLK;1991;;6.1
295;Fiji;FJI;1991;5.0;6.1
296;Finland;FIN;1991;8.98;6.1
297;France;FRA;1991;5.7;6.1
298;French Guyana;GUF;1991;;6.1
299;French Polynesia;PYF;1991;;6.1
300;Gabon;GAB;1991;2.59;6.1
301;Gambia, The;GMB;1991;4.74;6.1
302;Georgia;GEO;1991;13.86;6.1
303;Germany;DEU;1991;5.49;6.1
304;Ghana;GHA;1991;7.75;6.1
305;Gibraltar;GIB;1991;;6.1
306;Greece;GRC;1991;4.09;6.1
307;Greenland;GRL;1991;;6.1
308;Grenada;GRD;1991;2.25;6.1
309;Guadeloupe;GLP;1991;;6.1
310;Guam;GUM;1991;;6.1
311;Guatemala;GTM;1991;3.88;6.1
312;Guinea;GIN;1991;15.71;6.1
313;Guinea-Bissau;GNB;1991;12.14;6.1
314;Guyana;GUY;1991;9.42;6.1
315;Haiti;HTI;1991;4.3;6.1
316;Honduras;HND;1991;6.19;6.1
317;Hong Kong SAR, China;HKG;1991;2.3;6.1
318;Hungary;HUN;1991;7.39;6.1
319;Iceland;ISL;1991;11.91;6.1
320;India;IND;1991;8.55;6.1
321;Indonesia;IDN;1991;4.9;6.1
322;Iran, Islamic Rep.;IRN;1991;5.0;6.1
323;Iraq;IRQ;1991;9.23;6.1
324;Ireland;IRL;1991;5.49;6.1
325;Isle of Man;IMY;1991;;6.1
326;Israel;ISR;1991;4.85;6.1
327;Italy;ITA;1991;3.55;6.1
328;Jamaica;JAM;1991;6.32;6.1
329;Japan;JPN;1991;4.92;6.1
330;Jordan;JOR;1991;6.22;6.1
331;Kazakhstan;KAZ;1991;15.86;6.1
332;Kenya;KEN;1991;8.09;6.1
333;Kiribati;KIR;1991;3.26;6.1
334;Korea, Dem. Rep.;PRK;1991;;6.1
335;Korea, Rep.;KOR;1991;7.36;6.1
336;Kosovo;KSV;1991;;6.1
337;Kuwait;KWT;1991;2.41;6.1
338;Kyrgyz Republic;KGZ;1991;20.21;6.1
339;Lao PDR;LAO;1991;7.84;6.1
340;Latvia;LVA;1991;8.47;6.1
341;Lebanon;LBN;1991;3.5;6.1
342;Lesotho;LSO;1991;17.22;6.1
343;Liberia;LBR;1991;21.98;6.1
344;Libya;LBY;1991;4.08;6.1
345;Liechtenstein;LIE;1991;;6.1
346;Lithuania;LTU;1991;11.96;6.1
347;Luxembourg;LUX;1991;6.47;6.1
348;Macao SAR, China;MAC;1991;1.2;6.1
349;Macedonia, FYR;MKD;1991;5.64;6.1
350;Madagascar;MDG;1991;4.95;6.1
351;Malawi;MWI;1991;8.48;6.1
352;Malaysia;MYS;1991;5.41;6.1
353;Maldives;MDV;1991;2.2;6.1
354;Mali;MLI;1991;5.29;6.1
355;Malta;MLT;1991;4.5;6.1
356;Marshall Islands;MHL;1991;;6.1
357;Martinique;MTQ;1991;;6.1
358;Mauritania;MRT;1991;4.02;6.1
359;Mauritius;MUS;1991;3.4;6.1
360;Mayotte;MYT;1991;;6.1
361;Mexico;MEX;1991;4.86;6.1
362;Micronesia, Fed. Sts.;FSM;1991;;6.1
363;Moldova;MDA;1991;17.28;6.1
364;Monaco;MCO;1991;;6.1
365;Mongolia;MNG;1991;15.64;6.1
366;Montenegro;MNE;1991;;6.1
367;Montserrat;MSR;1991;;6.1
368;Morocco;MAR;1991;3.18;6.1
369;Mozambique;MOZ;1991;46.91;6.1
370;Myanmar;MMR;1991;14.74;6.1
371;Namibia;NAM;1991;3.32;6.1
372;Nepal;NPL;1991;10.47;6.1
373;Netherlands;NLD;1991;5.87;6.1
374;Netherlands Antilles;ANT;1991;;6.1
375;New Caledonia;NCL;1991;;6.1
376;New Zealand;NZL;1991;6.9;6.1
377;Nicaragua;NIC;1991;7.18;6.1
378;Niger;NER;1991;6.58;6.1
379;Nigeria;NGA;1991;10.12;6.1
380;Northern Mariana Islands;MNP;1991;;6.1
381;Norway;NOR;1991;4.81;6.1
382;Oman;OMN;1991;3.63;6.1
383;Pakistan;PAK;1991;5.33;6.1
384;Palau;PLW;1991;;6.1
385;Panama;PAN;1991;3.25;6.1
386;Papua New Guinea;PNG;1991;11.92;6.1
387;Paraguay;PRY;1991;5.05;6.1
388;Peru;PER;1991;3.4;6.1
389;Philippines;PHL;1991;4.86;6.1
390;Poland;POL;1991;11.77;6.1
391;Portugal;PRT;1991;3.36;6.1
392;Puerto Rico;PRI;1991;0.01;6.1
393;Qatar;QAT;1991;9.03;6.1
394;Reunion;REU;1991;;6.1
395;Romania;ROM;1991;9.51;6.1
396;Russian Federation;RUS;1991;12.55;6.1
397;Rwanda;RWA;1991;5.76;6.1
398;Saint Pierre et Miquelon;SPM;1991;;6.1
399;Samoa;WSM;1991;4.52;6.1
400;San Marino;SMR;1991;;6.1
401;Sao Tome and Principe;STP;1991;5.9;6.1
402;Saudi Arabia;SAU;1991;4.48;6.1
403;Senegal;SEN;1991;4.88;6.1
404;Serbia;SRB;1991;6.94;6.1
405;Seychelles;SYC;1991;2.46;6.1
406;Sierra Leone;SLE;1991;9.09;6.1
407;Singapore;SGP;1991;4.91;6.1
408;Sint Maarten (Dutch part);SXM;1991;;6.1
409;Slovak Republic;SVK;1991;12.41;6.1
410;Slovenia;SVN;1991;6.83;6.1
411;Solomon Islands;SLB;1991;8.87;6.1
412;Somalia;SOM;1991;24.42;6.1
413;South Africa;ZAF;1991;11.01;6.1
414;South Sudan;SSD;1991;;6.1
415;Spain;ESP;1991;4.07;6.1
416;Sri Lanka;LKA;1991;3.58;6.1
417;St. Kitts and Nevis;KNA;1991;3.53;6.1
418;St. Lucia;LCA;1991;2.26;6.1
419;St. Martin (French part);MAF;1991;;6.1
420;St. Vincent and the Grenadines;VCT;1991;2.06;6.1
421;Sudan;SDN;1991;9.14;6.1
422;Suriname;SUR;1991;5.6;6.1
423;Swaziland;SWZ;1991;3.45;6.1
424;Sweden;SWE;1991;7.8;6.1
425;Switzerland;CHE;1991;3.34;6.1
426;Syrian Arab Republic;SYR;1991;9.71;6.1
427;Taiwan, China;TWN;1991;;6.1
428;Tajikistan;TJK;1991;11.87;6.1
429;Tanzania;TZA;1991;11.18;6.1
430;Thailand;THA;1991;4.67;6.1
431;Timor-Leste;TMP;1991;;6.1
432;Togo;TGO;1991;10.67;6.1
433;Tonga;TON;1991;3.8;6.1
434;Trinidad and Tobago;TTO;1991;16.37;6.1
435;Tunisia;TUN;1991;4.25;6.1
436;Turkey;TUR;1991;3.75;6.1
437;Turkmenistan;TKM;1991;21.77;6.1
438;Turks and Caicos Islands;TCA;1991;;6.1
439;Tuvalu;TUV;1991;3.35;6.1
440;Uganda;UGA;1991;20.23;6.1
441;Ukraine;UKR;1991;21.19;6.1
442;United Arab Emirates;ARE;1991;4.7;6.1
443;United Kingdom;GBR;1991;5.92;6.1
444;United States;USA;1991;8.74;6.1
445;Uruguay;URY;1991;3.23;6.1
446;Uzbekistan;UZB;1991;32.54;6.1
447;Vanuatu;VUT;1991;3.03;6.1
448;Venezuela, RB;VEN;1991;5.5;6.1
449;Vietnam;VNM;1991;7.22;6.1
450;Virgin Islands (U.S.);VIR;1991;;6.1
451;West Bank and Gaza;WBG;1991;5.01;6.1
452;Western Sahara;ESH;1991;;6.1
453;Yemen, Rep.;YEM;1991;2.97;6.1
454;Zambia;ZMB;1991;12.43;6.1
455;Zimbabwe;ZWE;1991;14.76;6.1
456;Afghanistan;AFG;1992;1.33;6.1
457;Albania;ALB;1992;6.15;6.1
458;Algeria;DZA;1992;3.77;6.1
459;American Samoa;ASM;1992;;6.1
460;Andorra;ADO;1992;;6.1
461;Angola;AGO;1992;5.16;6.1
462;Antigua and Barbuda;ATG;1992;3.64;6.1
463;Argentina;ARG;1992;4.68;6.1
464;Armenia;ARM;1992;25.41;6.1
465;Aruba;ABW;1992;;6.1
466;Australia;AUS;1992;7.45;6.1
467;Austria;AUT;1992;4.22;6.1
468;Azerbaijan;AZE;1992;16.26;6.1
469;Bahamas, The;BHS;1992;4.33;6.1
